,id,name,city,wifi,seat,quiet,tasty,cheap,music,url,address,latitude,longitude,limited_time,socket,standing_desk,mrt,open_time
0,00014645-38c8-4eb4-ad9b-faa871d7e511,R5小餐館,chiayi,5.0,5.0,5.0,5.0,5.0,5.0,https://www.facebook.com/r5.bistro,嘉義市東區忠孝路205號,23.48386540,120.45358340,maybe,maybe,no,,11:30~21:00
1,000703fe-cf8a-43c8-bd83-c90cfd61915f,蜂巢咖啡,taipei,0.0,4.5,3.0,5.0,4.0,4.0,https://www.facebook.com/honeycombcafe2016/,新北市永和區永貞路214號,25.00409680,121.51528650,no,no,yes,永安市場站,雙週四公休，有變更另外公告
2,0022fc3b-598f-4bb5-bb69-1b7d1b9b5202,(暫停營業) The Kaffa Lovers,taipei,5.0,5.0,5.0,5.0,4.0,5.0,https://www.facebook.com/thekaffalovers/?fref=ts,台北市中正區金山北路3號,25.04435400,121.53045590,no,maybe,yes,忠孝新生,週二至週五 10:00-19:00            六日09:00-19:00 
3,00371f90-ab6b-46a9-95cf-1641495d47ab,Caffeine Pit 咖啡因子,taichung,5.0,4.0,4.5,4.5,5.0,5.0,,408台中市南屯區精誠路594-1號,24.14099100,120.65495400,,,,,
4,003c1c71-b6c9-4257-8722-54307a2281be,Fuelwood Coffee 燃木咖啡研究所,kaohsiung,4.0,5.0,4.0,5.0,5.0,5.0,https://www.facebook.com/fuelwoodcafe/,高雄市前鎮區復興三路311-14號,22.58304500,120.33590010,no,maybe,yes,「草衙站2號出口」出來後左轉，直行約600公尺,
5,004c4a03-ca13-4eaa-8c67-c4199ff374df,窩柢咖啡,taichung,5.0,4.0,4.0,5.0,4.0,5.0,https://www.facebook.com/WoDihouse/,台中市西屯區杏林路27號,24.16777300,120.64203940,,yes,,,低消一杯飲品/人。禁用外食
6,00544d87-9d8f-4910-88e6-79aa69c5b447,咖啡林咖啡 ,kaohsiung,4.5,4.0,3.5,5.0,4.0,4.5,https://www.facebook.com/coffeelingcafe/,高雄市三民區鼎祥街12號,22.66538400,120.31573100,maybe,yes,no,,12:00-24:00
7,005a5ee9-7460-4f8a-b965-8b9565ee1e4e,一杯咖啡士林店,taipei,0.0,0.0,0.0,0.0,0.0,0.0,https://www.facebook.com/acupofcoffeeshilin/,台北市士林區中山北路五段505巷36號,25.09302050,121.52667780,no,yes,yes,,
8,0061c67c-61ea-46e9-ba5d-dda35ac22964,燊咖啡,taoyuan,4.5,4.0,4.0,3.5,3.0,4.0,https://www.facebook.com/pg/shencafetaoyuan/about/?ref=page_internal,桃園市桃園區新埔六街138號,25.01647470,121.30168950,no,yes,no,,12~22，唯有週二是12~1730，無公休
9,00647eb2-1248-4af7-9c8a-409c5e0371da,CAFÉ SLOW TRAIN 小火車咖啡館,yilan,4.0,4.0,4.0,4.0,4.0,4.0,https://www.facebook.com/cafeslowtrain,260宜蘭縣宜蘭市和睦路6巷23號,24.75360900,121.75674100,,yes,yes,,
10,007d1a99-a204-4300-9301-02f01a16b390,右舍咖啡 vicinocafe,changhua,5.0,4.0,4.0,5.0,4.0,5.0,https://www.facebook.com/taiwanvicinocafe/,彰化縣員林市萬年路三段67號,23.95756180,120.57399800,maybe,maybe,no,,
11,00971781-cad6-4a6f-8a38-b597d8a1488b,Full of Beans 充滿豆豆咖啡館,taipei,0.0,0.0,0.0,0.0,0.0,0.0,https://www.facebook.com/FOBcafe.gallery/,台北市中山區龍江路21巷9-6號,25.04783800,121.54113810,,,,,
12,009c4e03-2bd9-409c-add0-545ce8e744a4,轉角98,pingtung,5.0,4.0,3.0,3.0,4.0,5.0,https://www.facebook.com/Corner98/,946屏東縣恆春鎮恆南路98號,21.99616350,120.74553290,no,no,no,,
13,00b6ce2b-d92e-44e5-b1cb-daaa925a5135,良食究好市集餐廳WONMI,taipei,5.0,3.0,3.0,5.0,0.0,5.0,http://www.wonmi.com.tw/home.php,台北市八德路四段138號 (京華城 Living Mall 10 F) ,25.04835450,121.56230040,,,,,
14,00c1a70f-1138-4cd6-9933-ebf53b92badf,甯 咖啡 ,taoyuan,5.0,5.0,5.0,5.0,4.0,5.0,https://www.facebook.com/jackscoffee/,桃園市中壢區大仁五街12號,24.95627560,121.24054410,no,yes,no,,11:30~21:00每月單數週日及每週一店休 
15,00d2ea54-ed84-41c5-a857-4bd38504b28d,BeYou.té Café,taoyuan,0.0,5.0,5.0,0.0,0.0,0.0,https://www.facebook.com/BeYouteCafe/,桃園市中壢區文化二路267號,24.97765160,121.25051020,no,maybe,yes,,
16,00e21150-8b6d-4a54-b4bb-5fa45099b15e,8號咖啡屋,taipei,5.0,5.0,5.0,5.0,5.0,5.0,https://www.facebook.com/number8coffee/,新北市土城區中央路2段278巷,24.97465990,121.44030680,no,maybe,no,土城站,
17,00e89e4e-3f76-45a1-b868-5d0200ee4418,馬崗街27號咖啡小館,taipei,0.0,5.0,5.0,5.0,4.0,4.0,,228新北市貢寮區馬崗街27號,25.01289630,122.00331800,,,,,
18,0119ad06-feb7-47b4-90cc-f747859779ed,Olivia Coffee Roaster,taipei,0.0,4.0,3.0,4.5,4.0,4.0,,"106, Taipei City, Da’an District, 光復南路346巷50號台灣",25.03851940,121.55597120,,maybe,no,國父紀念館,
19,013c1f18-626d-43e0-b627-f76ee74232f1,R9 Cafe 桃園店,taoyuan,4.0,4.0,2.0,2.0,2.0,4.0,,桃園市桃園區民生路55巷8號,24.99156610,121.31415020,,,,,
20,013fea91-2d05-4e67-b961-ac9e0659ec08,性格咖啡,tainan,0.0,0.0,0.0,0.0,0.0,0.0,https://www.facebook.com/Singletoast/,台南市北區成功路68巷4-5號,22.99860820,120.20679550,no,no,no,,
21,0149c291-311d-4eae-8bf3-0e4ebbf0763c,Caffe Ruelle 巷子壹,taipei,5.0,5.0,5.0,5.0,5.0,4.5,http://m.facebook.com/CaffeRuelle/,台北市士林區至誠路二段31之1號,25.10177580,121.52927490,no,no,yes,,0630-1830
22,014ca85b-0a9d-4882-8a51-2e8e1a67315c,多那之岡山分店,kaohsiung,2.5,1.5,1.5,2.5,3.0,2.0,,高雄市岡山區前鋒路6號,22.79448060,120.28943310,,,,,
23,016980fa-bb2b-4393-9b76-b9a045e7b683,DEBORAH CAFE 黛博拉咖啡,taipei,4.0,4.0,4.0,5.0,3.0,4.0,,台北市中山區敬業一路168號,25.08384230,121.55335770,,maybe,,劍南路站,
24,016c172f-34fa-4b21-b912-2c05f81ee209,高雄 TaMa 咖啡館,kaohsiung,5.0,5.0,4.5,5.0,5.0,5.0,https://www.facebook.com/TaMa.Cafe/?fref=ts,高雄市苓雅區永康街73號,22.61759290,120.30796130,no,maybe,yes,三多商圈,詳細上臉書粉絲專頁最清楚
